,train_loss,valid_loss,best_valid_loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/learning_rate,config/down_sampling_method,config/d_model,config/decomp_method,config/moving_avg,config/e_layers,config/dropout,config/d_ff,config/alpha_d_ff,logdir
18,0.3588943319873335,1.051918766416964,0.9986751621500367,1724507849,checkpoint_000006,True,True,7,86d377ca,2024-08-24_15-57-29,14.385254621505737,104.79448437690735,1144225,antonio,192.168.1.144,104.79448437690735,7,16,0.0020127898045893297,conv,128,dft_decomp,,2,0.1078824436353456,384,3,86d377ca
19,0.3452003213409263,1.049035813570732,0.989089626286711,1724507880,checkpoint_000005,True,True,6,4b74451a,2024-08-24_15-58-00,24.031686305999756,110.11123824119568,1144527,antonio,192.168.1.144,110.11123824119568,6,16,0.005450012362828051,avg,128,dft_decomp,,3,0.10236089725478141,384,3,4b74451a
20,0.4341123823936169,1.013120180084592,1.013120180084592,1724507957,checkpoint_000003,True,True,4,41c08623,2024-08-24_15-59-17,25.663358688354492,106.04823517799377,1145554,antonio,192.168.1.144,106.04823517799377,4,128,0.0017790861949191115,avg,512,moving_avg,35.0,1,0.1040263100290234,2048,4,41c08623
21,0.4072029559776701,0.9886716749696505,0.9877662246248552,1724507979,checkpoint_000007,True,False,8,6c5b0ae1,2024-08-24_15-59-39,8.60102367401123,97.08285403251648,1145897,antonio,192.168.1.144,97.08285403251648,8,16,0.0009625551993081033,avg,16,dft_decomp,,3,0.11852683183630873,48,3,6c5b0ae1
22,0.4109095818721331,0.9921814405492374,0.9921814405492374,1724507978,checkpoint_000007,True,False,8,08f53d00,2024-08-24_15-59-38,2.369164228439331,19.602845191955566,1146814,antonio,192.168.1.144,19.602845191955566,8,64,0.002247449005391667,avg,8,dft_decomp,,3,0.1022129627593339,24,3,08f53d00
23,0.2920633513922892,1.0598302823269652,1.0056790254477943,1724508088,checkpoint_000007,True,True,8,b928e620,2024-08-24_16-01-28,12.67651104927063,107.22254681587219,1147706,antonio,192.168.1.144,107.22254681587219,8,16,0.004088098275896603,conv,128,dft_decomp,,3,0.07732190337378124,384,3,b928e620
24,0.4208187983586238,1.0076002322492146,1.0064625690380733,1724508059,checkpoint_000005,True,False,6,23048d52,2024-08-24_16-00-59,3.2954189777374268,21.596162796020508,1149407,antonio,192.168.1.144,13.981961727142334,4,64,0.0008905456258060155,avg,32,dft_decomp,,2,0.10421037980054702,128,4,23048d52
25,0.4395518707703813,1.0303403920538368,1.0303403920538368,1724508014,checkpoint_000001,True,False,2,0fc00642,2024-08-24_16-00-14,10.590481758117676,22.148674964904785,1148071,antonio,192.168.1.144,22.148674964904785,2,16,0.0013548755805107607,avg,32,dft_decomp,,3,0.09803074176876775,128,4,0fc00642
26,0.42170407054981507,1.0038844956351178,1.0023887721555573,1724508089,checkpoint_000005,True,True,6,8d5db030,2024-08-24_16-01-29,5.703281879425049,43.314295530319214,1149889,antonio,192.168.1.144,28.153686046600342,4,16,0.0013053303088613312,conv,16,dft_decomp,,1,0.07785685337577472,32,2,8d5db030
27,0.43630208166745993,1.0290502061446507,1.0290502061446507,1724508037,checkpoint_000001,True,False,2,b56b82be,2024-08-24_16-00-37,1.7727375030517578,4.305600881576538,1148854,antonio,192.168.1.144,4.305600881576538,2,64,0.01066889876254848,conv,8,moving_avg,25.0,2,0.0803098247361213,24,3,b56b82be
