,train_loss,valid_loss,best_valid_loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/alpha_d_ff,config/batch_size,config/d_model,config/decomp_method/decomp_method,config/down_sampling_method,config/dropout,config/e_layers,config/learning_rate,logdir,config/decomp_method/moving_avg
228,2.4440536705698546,1.1775926220275106,1.1775926220275106,1724457266,checkpoint_000001,True,True,2,733ef184,2024-08-24_01-54-26,76.247483253479,155.07624769210815,482396,antonio,192.168.1.144,155.07624769210815,2,3,32,512,moving_avg,avg,0.17305159721719376,3,0.0015962651943885612,733ef184,55.0
229,0.39455721079161343,0.9994035121940431,0.9751671105623245,1724457244,checkpoint_000005,True,True,6,3f338ea4,2024-08-24_01-54-04,19.142858505249023,116.0415997505188,482731,antonio,192.168.1.144,116.0415997505188,6,3,32,128,moving_avg,avg,0.1580487091707816,3,0.0014914284437111916,3f338ea4,55.0
230,0.4049595511907362,1.013051140521254,0.9871258745413451,1724457353,checkpoint_000006,True,True,7,88923d6d,2024-08-24_01-55-53,12.854212999343872,106.34477162361145,483663,antonio,192.168.1.144,106.34477162361145,7,3,16,128,moving_avg,avg,0.16557973214932709,3,0.0005071185389091505,88923d6d,15.0
231,0.4120242272528652,0.987861436215185,0.9872801954902354,1724457316,checkpoint_000007,True,False,8,ce32a9b0,2024-08-24_01-55-16,5.895916938781738,47.23447513580322,483908,antonio,192.168.1.144,47.23447513580322,8,3,32,32,moving_avg,avg,0.17712258314882817,3,0.0011018605603902484,ce32a9b0,55.0
232,0.41144247952548935,0.9981169879791283,0.9943596172545638,1724457343,checkpoint_000007,True,False,8,40389c0d,2024-08-24_01-55-43,3.0341382026672363,25.134338855743408,484919,antonio,192.168.1.144,25.134338855743408,8,3,32,8,moving_avg,avg,0.1563260458044343,1,0.0019918600173182035,40389c0d,25.0
233,0.42292857444149323,0.996007322200707,0.9957192813356718,1724457385,checkpoint_000007,True,False,8,ba7926cb,2024-08-24_01-56-25,5.297883987426758,40.451236724853516,485822,antonio,192.168.1.144,40.451236724853516,8,3,32,16,moving_avg,avg,0.16787396158526519,3,0.0007082302595121227,ba7926cb,55.0
234,0.389586024129071,1.0073098586428733,0.9750028697862512,1724457459,checkpoint_000006,True,True,7,0b122c2f,2024-08-24_01-57-39,16.483246564865112,104.74186420440674,486075,antonio,192.168.1.144,104.74186420440674,7,3,32,128,moving_avg,avg,0.16153486952451837,3,0.001695071997747074,0b122c2f,35.0
235,0.3987185418377434,1.00062027183317,0.9739065910024303,1724457498,checkpoint_000006,True,True,7,6fdc971f,2024-08-24_01-58-18,15.452778577804565,110.79767417907715,486891,antonio,192.168.1.144,110.79767417907715,7,3,32,128,moving_avg,avg,0.17590710159320866,3,0.0012370916625909704,6fdc971f,55.0
236,0.3885070192859547,1.018014180074845,0.9831679669164476,1724457574,checkpoint_000004,True,True,5,1a9e8b60,2024-08-24_01-59-34,23.62318444252014,112.09199452400208,487826,antonio,192.168.1.144,112.09199452400208,5,3,16,128,moving_avg,avg,0.1650685464725438,3,0.0013242181698237172,1a9e8b60,55.0
237,0.4720246515511553,1.013389521411487,1.013389521411487,1724457671,checkpoint_000001,True,True,2,7fcc0396,2024-08-24_02-01-11,93.50677180290222,171.06850409507751,488304,antonio,192.168.1.144,171.06850409507751,2,3,32,512,moving_avg,avg,0.1690880076912592,3,0.0005645687490018554,7fcc0396,75.0
238,0.4295541919194735,1.003297405583518,1.003297405583518,1724457689,checkpoint_000005,True,True,6,b9f22370,2024-08-24_02-01-29,15.73802137374878,113.77121186256409,488920,antonio,192.168.1.144,113.77121186256409,6,3,128,128,moving_avg,avg,0.16641803664240878,4,0.0006292691328395644,b9f22370,55.0
239,0.4382235912176279,1.0135982845510756,1.0134330505416507,1724457691,checkpoint_000007,True,False,8,1d11acef,2024-08-24_02-01-31,1.1954195499420166,17.871585845947266,489688,antonio,192.168.1.144,17.871585845947266,8,3,64,32,moving_avg,avg,0.17848534639633765,1,0.0009115596973990815,1d11acef,15.0
240,0.40411455249877726,0.9936922178381965,0.9743416002463727,1724457794,checkpoint_000006,True,True,7,1ffcab60,2024-08-24_02-03-14,16.987066745758057,102.55705547332764,490423,antonio,192.168.1.144,102.55705547332764,7,3,32,128,moving_avg,avg,0.18759158306871127,3,0.0009960563120518663,1ffcab60,55.0
241,0.4188105674082292,0.9944803100966272,0.9940972250132334,1724457734,checkpoint_000007,True,False,8,acfa0bab,2024-08-24_02-02-14,5.0037314891815186,40.926682472229004,490570,antonio,192.168.1.144,40.926682472229004,8,3,32,8,moving_avg,avg,0.15980805791558225,3,0.0008233182430708529,acfa0bab,25.0
242,0.4100585354927399,0.9880776481614226,0.9755695721223241,1724457841,checkpoint_000006,True,True,7,824a6cc6,2024-08-24_02-04-01,12.601069688796997,105.07146835327148,491605,antonio,192.168.1.144,105.07146835327148,7,3,32,128,moving_avg,avg,0.1686260400418778,3,0.0007526292189479377,824a6cc6,55.0
243,0.40362237822050334,0.9893759568887097,0.9877050171295801,1724457839,checkpoint_000007,True,False,8,5bae29e3,2024-08-24_02-03-59,5.195662260055542,42.93714213371277,492358,antonio,192.168.1.144,42.93714213371277,8,3,32,16,moving_avg,avg,0.17313687827185872,3,0.0020782869222030135,5bae29e3,35.0
244,0.42028799377954923,0.9931146374770573,0.9923302886031923,1724457957,checkpoint_000006,True,True,7,f47607c7,2024-08-24_02-05-57,17.095595359802246,115.65062856674194,493350,antonio,192.168.1.144,115.65062856674194,7,3,128,128,moving_avg,avg,0.1588073008556353,4,0.0011100585922070203,f47607c7,55.0
245,0.3877428898523594,1.023883565639456,0.9868087697596777,1724457959,checkpoint_000004,True,True,5,792d422b,2024-08-24_02-05-59,20.502908945083618,115.4433856010437,493499,antonio,192.168.1.144,115.4433856010437,5,3,16,128,moving_avg,avg,0.2191976027710867,3,0.001444926287847433,792d422b,55.0
246,0.4371254425782424,1.0181557543220974,1.0181557543220974,1724458087,checkpoint_000003,True,True,4,a6c94875,2024-08-24_02-08-07,30.076534032821655,127.63187766075134,494744,antonio,192.168.1.144,127.63187766075134,4,3,64,512,moving_avg,avg,0.16234342933008322,1,0.0011824527514497016,a6c94875,75.0
